title,content,date
"Never will be ""departed"" from the pantheon of premiere American directors.","""The heaven sets spies upon us will not have Our contract celebrated."" Shakespeare The Winter's taleIt's not Taxi Driver or even Goodfellas but Martin Scorsese's Departed is one of the year's best films and one of his best after his 2 or 3 indisputable classics such as Raging Bull. The director has assembled a first-rate cast who right down to Jack Nicholson as mobster kingpin Frank Costello are having a great time nudging each other's performances toward excellence through collaboration.Remade from a 2002 Hong Kong smash called Infernal Affairs The Departed tells of moles within the Boston State Police Department and the South Boston Irish-American mob. When the director opens the film with Costello's brief narration and the Stones' Gimme Shelter for background music we're in for a whole lot of no shelter for anyone and uncommon acting for everyone. The set up is just complex enough to act as a metaphor for the nasty workings of the United Nations Iraqi Assembly and US Congress. Billy Costigan (Leonardo DiCaprio) willingly serves as a mole in the South Boston Irish-American mob for the State Police while Colin Sullivan (Matt Damon) does the same in the State Police for the mob.Amongst the intertwining machinations of cell phones and lies is a triangle with those two operatives and a psychologist Madolyn (Vera Farmiga) as well played by the three as could be hoped for in such a trumped-up situation that provides little sexual payoff for audience voyeurs and many scratched heads for those who enjoy well-structured plots. This triangle is the only disappointment in a film layered expertly to show how intertwined crime and punishment can be in a world last laid bare by Clint Eastwood's Oscar-winning Mystic River (2003).Cinematographer Michael Ballhaus and production designer Kristie Zea are winning collaborators with the director for a look that is authentic (I worked in South Boston for 3 years) crisp and dark. But in the end the film belongs to the actors chief among them DiCaprio as a young Scorsese acolyte showing the master's handiwork after 3 films with him. And Matt Damon has never been better in his hometown as has fellow South Bostonian Mark Wahlberg in his role as a detective with a barbed tongue and equally sharp intuition.Welcome back Martin S. The Departed may not win you an Oscar but it does guarantee you never will be ""departed"" from the pantheon of premiere American directors.",4 October 2006
A masterpiece right up Scorsese's alley,"Director Martin Scorsese's ""The Departed"" a gangster flick based from the Hong Kong thriller ""Internal Affairs"" goes without saying as perhaps his best work since ""Goodfellas."" Working on a genre that's right up his territory Scorsese is back on top of his game and recreates a new dimension to the genre. This crime thriller treads the same theme as much of its director's previous films does. It's about two young men the people around them and the complications brought about by their characters' ambiguity.Set in Boston the Massachusetts State Police sends young cop Billy Costigan (Leonardo DiCaprio) to go undercover and infiltrate an Irish mob syndicate where he quickly earns the trust of leader Frank Costello (Jack Nicholson). Meanwhile Costello's informant Collin Sullivan (Matt Damon) works for the police department's Special Investigation Unit. Soon stakes are raised when both the police and the mob realize there's a traitor among them and that both Billy and Collin are both in danger of losing their cover and even their lives.Nicholson yet again playing another villain owns every scene he's in with his portrayal of Costello providing a paradoxical attraction to his menacing character. DiCaprio increasingly maturing as an actor since becoming Scorsese's ""muse"" fits right in as the streetwise cop while Damon brings his usual authoritatively calm demeanor to the part. They are complemented by the ensemble performances of Martin Sheen Alec Baldwin Mark Wahlberg and Vera Farmiga.Scriptwriter William Monahan (""Kingdom of Heaven"") retains much of the structure of ""Internal Affairs"" but adds depth to its characters and an acerbic quality to its witty dialog. The cinematography by Michael Ballhaus is brooding and morbid capturing the character of its Boston setting while Howard Shore's score is as good as a soundtrack can be.At its core ""The Departed"" is a well-crafted well-written and well-acted film noir. In an age where style usually triumphs over the narrative quality ""The Departed"" is one of the best films I have seen so far in recent memory.",4 October 2006
Masterful,Amazing performances action script production and directing. Exactly what I expected from this amazing director.,2 November 2020
Fantastic Bro,Excellent. A great great movie. I saw it last night at a special screening and must say it was a tour de force. Even though Boston is not really a gritty town Scorsese was able to capture a darker side of the city. Coming from that area I am always concerned when actors put on the local accent as it tends to be distracting rather than supportive. However with local pros like Damon and Wahlberg they were able to really grab hold of it and not go overboard... most of the time. The true stand out performance has to go to DiCaprio. He has really come into his since hooking up with Scorsese having scored a number of original performances all of which have expanded his range. He really snagged onto a deep and tragic character and created something that will hopefully be recognized come awards season. One of my favorite aspects was the friendly hostility the characters had for each other. It is a specific trademark that I have never noticed in any other city. In Boston when you are really close with someone (or not really) it is more or less a requirement to bust their balls and shoot cruel insults back and forth in rhythmic banter. That detail was extensively realized in THE DEPARTED and I doubt anybody who was raised outside of the metro Boston area or at least visited at some point would find it nearly as hilarious as those who were. As for Scorsese's direction I think he scored big with this one. While many have criticized that his movies have become more commercial I believe that he has just evolved. There were some classic Scorsese moments here my favorite being a scene where DiCaprio is alone and packing his things in his apartment. Beautifully cut and stylistically directed. Is it his best effort? No. But it still is truly mesmerizing. He has created something truly special from a city that is highly underrated.,29 September 2006
A Truculent Pancake,"What a shame. Scorcese the old one lived in a world that worked differently than the world of most folks. His world has no God no laws no fate no environment. His world is a world of characters who exude the world. If there are apparent laws it is because of the force of people creating the space they project into. He works in this way because its his heritage an Italian legacy both in culture and film. And because it works. A filmmaker's job is to define a world in a film ideally in the first few moments of a film. There are all sorts of ways to do this and the way we digest what we see has a lot to do with how it is served in this way.One way the way the old Scorcese used was to invest wholly in bodies. Focus the camera completely on people a few very very strong people and grow the world and a whole world system  usually based on simple ethics  around it. It means you have the latitude to develop some loud apparently full characters but it also carries disadvantages: we never can fold his movies into our lives. We can never overlap our world into his because his doesn't exist.He knows these limits. He's spoken of them privately and in his last two films you could see him trying to outgrow the limits of the old Scorcese. With ""Gangs"" he reached far into space defining places a city underground havens mobs the flow of rumors through society. He reached to groups. His camera flew not as expertly as DePalma's but wildly compared to old filmmaker's which was tethered to single bodies. ""Gangs"" overreached and ran out of money time and the patience of his patrons so it was wrapped up with some explosive characters.""Aviator"" showed us a new man. I hailed him as the best new filmmaker of that year. He drifted into the world away from characters. He designated a watcher in Blanchett something he has never done before and he let he bring her tools of folded narrative to bear. It was film worth watching his first one in my opinion.And now we have the old fellow backsliding into his easy manner his cheat. His way of delivering apparent power with no power. Yes it is well put together. Yes it has serious actors doing their bit without worrying about how it fits in the symphony. There is no grand design just speechifying. Yes the use of music is perhaps the most competent you will ever find.But it is empty. Again. We lost a filmmaker this year.Ted's Evaluation -- 2 of 3: Has some interesting elements.",5 November 2006
The Departed is Scorsese's most overrated film.,"Now now before you go and comment dislike and lambast my opinion hear me out. This is by no means a bad film in fact it's better than good. Yet a ludicrous amount of film aficionados deem this as one the best films from the last decade. I'm afraid I strongly disagree. An amateur Boston cop infiltrates an American Irish gang by following the chief mobster. On the flipside a criminal from the gang infiltrates the police department and reports the status of the investigation back to the head honcho. It's a vintage crime story that thematically conveys the power of trust. Scorsese is back to what he does best crafting intricate mafia crime thrillers fuelled by rich character development. The arcs of the leading individuals are fully realised and are played out like a methodical game of chess. Motives are shrouded in mystery minds are tainted by corrupted ideologies. Scorsese brings in an A-list cast comprising of Damon DiCaprio and the ever reliable Nicholson who essentially chews up every scene like he is devouring a piece of tender chicken. Monahan's screenplay consistently brings out the gritty Boston upbringing of these characters. It's a harsh environment that lures you into this convoluted world filled with rats and tyranny. Wahlberg's sarcastic banter was a much required element to what is a tough exterior. My reasoning for not rating this excruciatingly high is the narrative structure. There are no surprises in this it's a ""thriller"" that doesn't excite me. Purposefully indicating who the informants are in both parties at the beginning means a large duration of the film becomes predictably unexciting. It's only at its conclusion that it mistakingly tries to be enthralling by shooting people in the head (literally!). Lazily underwhelming especially after 140 minutes of character development. The Boston accents also came across extremely heavily from certain actors particularly Farmiga as she exclaims ""harrrrrdest!"". A well constructed crime drama that unfortunately is weighted down by a mechanical narrative.",2 April 2018
Good but very familiar story of cops and robbers,"Remake of Infernal Affairs is not the second coming of the gangster film that some proclaimed it. It is a very good if decidedly over long tale of cops battling robbers with moles on each side trying to remain hidden.The plot is simple a cop is sent undercover in the mob at the same time a crook works his way into the police force. Complicating matters is the fact that the bosses on both sides quickly realize that a rat is among and they begin the search to ferret out the mole.The original Infernal Affairs is one of the better Hong Kong Films of the last ten years. Its a well told tale with some nice stylish twists. If the original has any flaws its that the film falls in love with itself in the second half and becomes a bit too showoffy. Thats not the case here here the story has been refashioned and rethought into a gritty tale of Irish cops and robbers in Boston. Its different enough to discourage comparisons which is a good thing in these days of shot for shot remakes.Martin Scorsese has fashioned a really good film. The cast is mostly excellent with only Jack Nicholson ruining things with an occasional lapse into stereotypical ""Jackisms"". Leonardo DiCaprio has at last arrived as an actor and turns in an excellent performance as the cop gone deep undercover. His performance is sure to garner an Oscar nomination.I really liked this film but I didn't love it. The film carries a sense of having been down this road before not because its a remake as I said it different enough to rebuke comparison rather its because it takes the gangster films of the past thirty years and compresses them together and has a very familiar feel. It reminded me of several other films about the Irish mobs State of Grace in particular so it didn't strike me as ground breaking the way The Godfather or Goodfellas did upon first seeing them.My one real complaint with the film is that it takes too log to get where its going. Yes its tense and it keeps you on the edge of your seat but when it was over I felt as though I had been watching it for twice its length. A good movie should fly by and make you lose track of time. I was checking my watch through out much of the second half of this movie.Definitely worth seeing but I'm not sure you're going to love it so much as you're going to like it.7 out of 10.",2 November 2006
Whatever I say does not do this film justice,"The DepartedThe screenplay: Top NotchThe performances: all-star cast delivering all-star performancesThe music: perfectThe Directing: Martin Scorsese at his finest and that is saying something.Once again Scorsese delivers a film that meets or exceeds the expectations of its audience in nearly every way. There are moments of incredible tension violence and drama moments where characters reveal their vulnerabilities and weakness. Comedic moments and moments of sadness and through it all a multi layered and brilliant story is told by an American film maker who once again proves Harvey Keitel correct when he said ""Maybe he (Scorsese) got what he deserves--exclusion from the mediocre."" This film is Scorsese's finest work since Raging Bull but it is not simply about Martin Scorsese or the amazing screen play by William Monahan it is more than an amazing score and great cinematography. While many of the accolades for this film belong to those behind the scenes people who envisioned and directed this film. One would be remiss to not point out the great performances of an all-star cast many of whom deliver the finest performances of long and storied careers. Martin Sheen Alec Baldwin Jack Nicholson Leonardo DiCaprio and Matt Damon deliver incredible performances. However the performance that stood out for me was Wahlberg Mark Wahlberg's Sgt. Dignam stole every scene he was in and he shared screen time with each of the afore mentioned actors. He gets to deliver some of the best lines and with every scene he leaves the audience wanting more and anticipating his next scene.Since The Academy has had its collective heads stuck  for so long mentioning a Scorsese picture and Oscar in the same sentence seems to be a waste of time. That being said I can not say if he will finally win the Oscar that he has deserved for so long as his major competition (Flags of our Fathers) has yet to be released I will say that I expect to see Wahlberg nominated for best supporting and Leo and Damon will be pitted against one another once more this time for best actor Monahan will be nominated for writing and of course Scorsese will be nominated for director. Also it goes without saying a best picture nomination will be in order for The Departed.That was the long version; the short version is if you like a movie with incredible performances direction music and visuals. If you like a layered story that is not formulaic in short if you appreciate film making and story telling at its finest then see this film. Even with the glowing reviews of myself and others and the high expectations they will undoubtedly bring I assure you that you will not be disappointed.",9 October 2006
major let down,what a let down after all the fuss and rave reviews the film is not a patch on the honk kong original. scorcese takes two and half hours to tell a very simple story that in the original had you tensed up all the way. here what we get is banal dialogue(goodfellas again) implausible plot turns (i'm trying to remember if infernal affairs plot was as ludicrous take the fact that di caprio goes to see the police shrink in the police building what no ones sees him. the basic premise and point of the movie is when and how they are going to discovereach it takes ages to get to this point by which time i was bored silly with nicholsons way over the top performance di caprio looked and sounded like he was about to cry any moment but worst of all was that the film had no energy it just sagged this is now the third film from sorcese that looks tired it started with gangs of new york then aviator and now this by this going his next film will positively crawl to the end. overrated overblown and forgetfull,19 February 2007
not a patch on INFERNAL AFFAIRS,this movie is completely inferior to Infernal Affairs on just about every level possibleIA anticipated an audience with a brain cell or two and so explains during the title sequence what it takes this remake around 30 minutes or more to explain. repeat during the *title sequence* we are given all of the information we need to know about the informant plants (which btw were realistically placed some considerable time in the past rather than several months ago) and are then straight into the moviescorsese takes this fabulous material and then dumbs it down to spoon feed it to a western audience. all of the sharp and intelligent dialogue of the original is gone in favour of your usual Hollywood 4 word expletives. every other word in this film is an F word and they are mostly totally unnecessary. all of the stylish camera work of the original is lost for example the ultra cool roof top meets. and to top it the casting and performances are dry and badnicholson gives us a performance which is no more than good old bottled vintage jack. here's jack doing an impression of a rat etc etc yawn.di caprio is good as usual but still doesn't nail the performance mostly because he doesn't physically suit the part. he just doesn't look tough enough for the challenge (as presented in the departed)wahlberg on the other hand tough's it up to the Nth degree and is just absolutely atrocious. this man is working in a high level intelligence department and he plays it like a street cop. it's a totally inappropriate display and really reveals his limitations as an actormatt damon is just too plain he is just totally unmemorable in this moviefor a director who used to be at the cutting edge of cinema this is a fat and lazy remake of a lean and mean original movie/trilogy which i urge you strongly to see. time for scorsese to hit the gym and go back to basicsfor people unaware of the original i'm sure they'll be blown away by the incredibly intricate plot in scorsese's departed. unfortunately what they probably won't know is that this is a dumb rehash of Infernal Affairs,31 December 2006
Save your money,"Well due to all the hype I went to see this one with great expectations although I must admit without having seen the parent film Infernal Affairs. What a let down ! Setting the scene is great and time taken to achieve this is well spent but for me the film started to drag with expectation and patience well run out by the time the plot strands began coming together. Yes Jack Nicholson is a great actor but no he didn't convince me in the role even though most of the good lines and deliveries were his. But Boston Irish ? Everyone including the deliverer of the line ""I'm Irish & can live with something wrong the rest of my life...."" failed to convince me of Irish lineage. The accents the faces the attitudes were all wrong for souls in torment over doing what they believe they have to do a basic for Irish/Catholic guilt and angst. The film would have been much stronger with unknowns in several key positions and for me once the disparate strands were established the rest of the film was very predictable and I wasn't kept guessing - crucial if we are to suspend disbelief and have pressure and tension build in the viewer.DeCaprio fails to convince as a tough guy despite the convincing scars. He stills comes across as an adolescent fuming after his pocket money's been withheld. Matt Damon looks like an awkward schoolboy and was even less convincing than DeCaprio about being a cop. Mark Wahlberg sounded like he'd been taught to swear the week before Martin Sheen was as hard bitten as a kitten and there were so many operational goofs the film became a comedy. A Federal agent running a State operation against his own informer? What a waste of time and budget monies. Only two people knowing about an undercover operation? BULL! Keep sending an undercover back after his nerve's gone ? Garbage ! Permanently deleting a full record (on a State Police computer no less!) without possibility of recovery ? Unbelievable - even children know data can be restored and the system will keep a record of who deleted the information. For me the film became a joke and I couldn't wait for the end to arrive so I could leave. By the time the end plays arrived and new players were falling like flies the audience was laughing out loud at the inanity. Once again Hollywood takes a good story and ruins it with poor crafting no matter how well filmed. Very bad casting a rushed and unfulfilling ending far too much gore not enough character substance one dimensional players and an insult to the viewers intelligence.",18 October 2006
Whom Do You Trust?,Wow this was exhausting. We have a cast of characters each of which has a dangerous side. They are woven into a complex network of crime and honor. Some are spies; some are mobsters; some are weak; and some are strong. The one thing that fills the screen is no one knows when it's coming. There is so much danger out there and it could be around any corner. The performances are great particular by Jack Nicholson and Mark Walberg. These are a couple of crazies who seem to enjoy the most insane continuous process of interaction among crooks and police. They are suspicious and ruthless and absolutely great. The down side is having a hell of a lot of sympathy for anyone. Leonardo DeCaprio's character is probably the most sympathetic but we know the fine line he is walking and that disturbs us. There is so much graphic violence and disrespect for humanity that it's at times hard to like it. Still it never stops right up to it's dramatic finish.,1 January 2010
Breathless But Bewildering,This has enough violence and gritty street stuff to be another intriguing descent into the world of crime and punishment for Scorsese and his blend of attractive brutality but it is vastly overrated. It can be confusing and less than engaging as its myriad of mobsters and cops parade in and out of frame with varying results of believability. The acting and characterizations are all over the place with wide ranges of volume and machismo. One example is that the affairs of the heart here are never founded and come across as less than real. Take the scene in the restaurant. Is that for one minute real with its forced laughter? Or the bedroom/sex scene. It is a movie that seems full of itself rather than full. The complexities are so twisted and run by so fast that its hard to keep up with it all. It could be that the pacing is such to give it that dizzying feeling of being trapped like a rat in the bowels of the beast but its breathless energy sucks the life out of the story and its just whiz-bang bang bang bang.While not without its attractions of audacious anarchy and it delivers so much that it is hard not to get involved in the goings-on. But the Director has made many better films and one cannot get the feeling that the adulation for this one is misplaced or in place of past disregards.,3 January 2013
Sublime Scorsese,Definitely the the type of movie that makes it worth going to the theater. Very intense action and violence twisting plot lot's of misdirection.The story line is a bit overly whelming at times this isn't a good movie to watch if you're tired and follow the action the double crosses and the sometimes confusing who's who of the movie but if you can just remember the basic characters the minor twists won't be too confusing.While it's certainly not a love story there is that element with a bit of a morality play going the whole time.I can't make some of the statements I'd like to make because I really try to avoid spoilers in my reviews but I'll say that I enjoyed the movie even though had I been in charge it may have ended differently...All that said if you like a thriller that has some rough and tough violence and a plot with a few twists and turns this film would be one I'd recommend to you.,24 January 2011
Brilliant,Before seeing this I knew I was in for a treat given that it's a Scorsese movie but The Departed was even better than I expected.The acting is outstanding. Leonardo DiCaprio gives what is quite possibly the best performance of his career. Even the people who hate him admit he did a good job. It's turned some haters into fans and my brother who despises him even says he was great. Matt Damon and Jack Nicholson give their best performances since The Talented Mr. Ripley and As Good As It Gets. Mark Wahlberg almost steals the show with the best lines. Ray Winstone Alec Baldwin and Martin Sheen are good too.Definitely one of the best films of the 00's. And easily one of the best remakes of all time. It's intense funny exciting suspenseful superbly acted violent has great characters and has one of the most shocking scenes I've ever seen. And there's not a boring moment in it's two and a half hour running time. The film will most likely be nominated for picture director and adapted screenplay and in my opinion it deserves all three of them. DiCaprio and Wahlberg also deserve nominations.See this as soon as you can.,11 November 2006
