title,content,date
Haven't seen it? oh watch it already.,I am always in search of great foreign movies.I had never seen a Turkish movie and then I decided to watch The Bandit(1996) and loved it! Without any effort i was able to find this masterpiece. I laughed cried loved every single minute of it! I first watched it in 2013 and today decided to watch it again. I have recommended this movie to many friends and each one of them liked it and each one also cried. I have always loved drama movies but this movie is more than that.Great performances from everyone.Simple and Remarkablea must-see! I will recommend everybody to watch this movie.These type of movies are the victory of Cinema.,31 December 2014
The Mediterrenean way of life..,This is a very good movie without any doubt! During the recent years there have been made some movies that clarifying Turkey's 70s - 80s. As a person who has been experienced those years the film became a very big sentimental burden for me. Those were the tough days for many. It is a very touchy story..However it is not that what makes this film good one.. You don't need to know all Turkish history to feel the movie.. You don't need to be Turkish either.. This is emotion.. This is life.. The Mediterrenean way of life.. I guess in a Mediterrenean perspective the movie would appeal to many. I myself watched a lot of Italian movies with similar scenario. The life from a 7-8 yo kid's eyes gather things in a three-generational dimension.... There are many scenes that are going to be remembered long.. The first encountering of the kid and grandfather is really touchy.. The blood is thicker than water.. This is what so called about a FAMILY..By the way for the international audience.. Deniz is name of Turkey's one of the most famous leftish youth leaders in 70:s with a great charismatic personality. So that's why the name of the kid is not at all a coincidence..,12 January 2008
Simple and Remarkable,"Anyone who watches ""My father and my son"" will eventually relate the movie to a family relationship they have lived. It is a perfect visualization of what people do because of their ego and what can actually destroy that ego. The movie makes the viewer ask ""what if"" questions about almost everything and the answers will be different for everyone. The acting is definitely remarkable with less experienced characters (including the little kids) putting on a display to remember when aiding patriots of Turkish movie industry. Overall I can say that ""Babam ve Oglum"" is a blending of great acting wonderful script and a real life story.",27 January 2006
impressive,a family. trace of past. lines of present. and a touching end. Father and son is a collection of themes. and a splendid example to define each in a delicate and precise manner. it is touching and special film in contemporary Turkish filmography. it is special for the art of a young director to use old ingredients in a new manner. nothing spectacular only old truth sides. but the result is a profound exploration of viewer universe - the relationship with the other the family importance the new chance the error and its price the miracle. sure it is a Balkan movie. but its message is universal. its beauty is out of definitions. the inspired acting the force of images the music are only parts of an impressive story  a fairy tale with strong roots in reality.,8 October 2013
great movie,"i am from India and i saw this movie at Bangalore film society its the most emotional drama i have seen till date and there wasn't one moment where i didn't have tears i do feel though that the end was dragged. i feel the movie should have ended when the kid videotapes's his dad's exit in the end nevertheless its a beautiful movie with wonderful actors and a great director and every human should watch itit speaks about father and son family love youth i has everything that a life has and i must say that one great part of the film is that there is no violenceits a FIVE STAR movie along the likes of ""eskiya"" ""the edge of heaven"" ""head-on""WATCH IT",13 January 2012
The State as a Tool of Terror...,The profound consequences that a state in fear of its people can have on those people. Achingly sad and sincere riven with sorrow and emotion the tragic effects on a rural family in Turkey in the1980s as a result of tyranny despotism and control. Be prepared to bleed tears into a bucket as your outrage sorrows and disbelief take hold in a wholly believable story that could be retold in far too many places around the world still is unfortunately and most sadly still will be while true democracy is ignored - although it is particular poignant the way it's performed here.,31 October 2020
Great acting in an entertaining drama,"The acting was perfect in this movie from the kid (Deniz) to Çetin Tekindor (Hüseyin Aga). All player did their job in a great performance. Also the places the film shot was great. My grandfather lives in a similar village and I used to go to there in summers in my early ages. I went to back again to my childhood when I was watching the movie. It reflects the life style of those places in a very good manner and reality. No detail was skipped. Also the director mixed the drama and joy in the movie very well so that you can laugh suddenly when you pity for something you see in the movie. This was I think a great directing success for the new generation director Çagan Irmak. So this a ""must to see"" film I think especially for the Turkish viewers (It includes so much domestic features). But international viewers can also get a real good taste of it because main themes (such as family bonds love of son) in the movie are humane things.",19 December 2005
Life as it is...,This film was a real surprise for me. I only saw one other Turkish film before this one (Vizontele Tuuba). The story may not be all that original but the way it is told is just wonderful. Lot's of humor (we laughed a lot) and real tragedy (we really needed that handkerchief at the end). I love the parts where you get carried away in the little boy's dreams. That surreal view shows us the differences in thinking between an adult and a child. The music is what you can expect from a Turkish film. You either like it or you don't. But it's never overwhelming. I really recommend this movie to everyone. And no I am not Turkish!,30 March 2006
Unabashed Melodrama with its Roots in Yeşilçam,A huge hit on its first release in 2005 BABAM VE OĞLUM (MY FATHER AND MY SON) is an unabashed melodrama with the emphasis on excess.The story is a straightforward one: Sadık (Fikret Kuşkan) has to deliver his first child alone when there is no one to take his wife Aysun (Tuba Büyüküstün) to the hospital. The wife dies leaving Sadık a single parent on the first day of the military coup taking place in the Republic of Turkey on 12 September 1980.Time passes: Sadık is imprisoned and tortured for his political views; but on his release he leaves İstanbul with his son Deniz (Ege Tanman) to return to the family home near İzmir. He receives a frosty welcome from his father Hüseyin (Çetin Tekindor) who has never forgiven Sadık for quitting his studies in agriculture in İstanbul and turning to politics instead. The rest of the movie focuses on the way familial relationships change as well as how people cope with an unexpected tragedy.Director Çağan Irmak looks at the oppressive influence of the past on the present; not only does it affect relationships between Sadık and Hüseyin but it significantly dictated Sadık's love-life too. Returning to his home-town Sadık is at once attracted and repelled by its familiarity; those who have never left - even for a short time - remain blinkered in their world-views. On the other hand BABAM VE OĞLUM shows how families stick together in times of crisis and can resolve their own problems so long as they are prepared to acknowledge them in the first place.The narrative contrasts Sadık's story with Deniz's imaginative fantasies in which the little boy positions himself as the hero. In the first part of the film they can be read as a retreat from reality as Deniz tries to cope with the trauma of moving to a new town and coping with a new life. By the end however he has discovered that such fantasies might change once he grows up. They will remain fantasies but they will fulfill a different function in his life.The film is full of major scenes of confrontation and reconciliation with Irmak's camera-work designed to achieve maximum dramatic effect through the use of close-ups panning shots dissolves and two- shots complemented by a florid musical score (by Evanthia Reboutsika). Although the narrative celebrates excess - of emotion of feeling and of reconciliation - it does not seem in any way forced. In fact it is as convincing and emotion-provoking as the best Yeşilçam melodramas of the past. Clearly Irmak planned BABAM VE OĞLUM as an homage to the genre and he accomplishes his task with élan. Definitely worth more than one viewing.,22 January 2016
Never Felt Like This In a Movie,This is the best Turkish Drama I have Ever Seen. In fact this is the best movie of Turks. Story Acting Music etc. everything was perfect.It is about 3 generation. Father Son n Grandpa. Most of the theatre cried many times and in the same scene we suddenly start smile sometimes they were more than smile. This is my reaction in a scene :) => :( => :(( => :('' => :)I would like to celebrate Cagan Irmak and all the actors even childrenTurkish Movies are commonly made for money but this is not one of them but this will be the most movie ever watched in Turkey this year. I think this is also better than Gonul Yarası which is a nominie for Oscar nominies.,2 January 2006
Simply amazing drama at its best!,It's one of those films which really affect you deep. The movie somehow makes ordinary places ordinary people and ordinary events become interesting. I think it's due to the way Cagan Irmak (writer and director) cleverly and carefully blends everything. The movie is definitely not like a Hollywood production maybe more like a European film. The film has many enjoyable moments but it's mainly emotional. The actings are magnificent the story is heart-breaking and the places are so real. All performances were remarkable but I should say I was over impressed by Cetin Tekindor's (Huseyin Aga) acting. While the bitter truths about life and family relations are portrayed perfectly the movie also reflects life from the innocent eyes of a child. Personally the local rural village life took me back to my some good memories. There is no need to tell what happens in the film as enough is said in the plot summary. More would only spoil it. But it should be noted that even though the plot may sound political the film is actually not.The movie came out without much advertising but in short time became very popular - won many awards in Turkey and some in Europe. Not much to say... brilliant work. If you haven't seen it I advise you watch it whenever possible. If you don't feel like crying in this movie you will feel sorry for yourself.,23 February 2007
Amazing movie,I've never really been a fan of Turkish movies.I always thought they weren't good enough but I knew that some good movies were done in recent years.And I heard everyone talking about this movie low budget but a great movie they said.I wanted to see it myself and so i did.The movie is really great.It tells us feelings family joy laughter sorrow grief...It tells us life but in a very sad way.I'm a cold blooded person i cry rarely and never in public.I didn't cry watching this movie but I really tried hard not to.The movie scenes are incredible and also the music is wonderful.Acting is very very good.Cetin Tekindor (grandfather) is the best in my opinion.He's one of the best actors in Turkey but I think he did his best job in this movie.He talks Aegean Turkish accent perfectly.Cagan Irmak director of the movie did an outstanding job.I want to congratulate him for this masterpiece.,1 March 2006
An intense emotional drama,"At its core ""My Father and My Son"" is another old man - young kid story done just right. While it is not as amazing or as stunning as many reviews proclaim it is still a very good movie. It is prone to sentimentality sometimes but that is more of a cultural thing. While acting wasn't spot on in a couple of places mostly everybody has done a very good job and though it may appear that the actors are overacting you have to keep in mind that different cultures have different norms and different ways of expressing emotions.""My Father and My Son"" is not groundbreaking but It is both touching and humorous without falling in too many clichés. A very good movie and a treat for foreign movie lovers.",22 May 2011
please watch this film..,I thinkthis movie is very special for Turkish cinematography.Cagan Irmak(If I were youI would be careful with him.He is great man) told us dying for opinions and the importance of the family.While I had watched the movieI perceive that I want to believe my imaginations in my childhood and never want to grow up.Congratulations Cagan Irmak!Because of you touched our hearts in a very beautiful way.In additionI should thank Çetin Tekindor( If he was born in an other countryhe will certainly be an actor such as Anthony Hopkins)Fikret Kuskan(no comment)HümeyraSerif SezerEge Tanman(Sadik's son)..Please don't be prejudiced against Turkish movies and watch this movie.You won't certainly be regretful.I thinkeverybody should watch this movie.,4 January 2006
One more chance for fathers and sons,"Give him a room dad he do not have any else place to go... Is the best and the most important Turkish movie written and directed by CAGAN IRMAK... He is a wonderful writer and director. Although his young age he is more successful than other older directors. I recommend everybody to watch this perfect movie! Actors and actresses were wonderful time was expressed very well. It is impossible not to be touched and cry after watching the movie.Developing Turkish movie sector will have a very important affect on European movies especially with the help of this movie.Cagan Irmak had proved his talent with his previous movie ""Mustafa Hakkinda Hersey."" I hope more these kind of movies will be created in Turkey and Turkish movie sector will be developed with the help of good quality moviesA PERFECT film surely not to be missed!",17 December 2005
